,State,Year,Beer,Wine,Spirits
0,Alabama,1977,0.99,0.13,0.84
1,Alabama,1978,0.98,0.12,0.88
2,Alabama,1979,0.98,0.12,0.84
3,Alabama,1980,0.96,0.16,0.74
4,Alabama,1981,1.0,0.19,0.73
5,Alabama,1982,1.0,0.18,0.72
6,Alabama,1983,1.01,0.17,0.71
7,Alabama,1984,1.02,0.19,0.69
8,Alabama,1985,1.06,0.17,0.67
9,Alabama,1986,1.09,0.18,0.64
10,Alabama,1987,1.1,0.18,0.61
11,Alabama,1988,1.1,0.18,0.61
12,Alabama,1989,1.1,0.17,0.6
13,Alabama,1990,1.12,0.18,0.61
14,Alabama,1991,1.0,0.17,0.59
15,Alabama,1992,1.02,0.19,0.59
16,Alabama,1993,1.14,0.17,0.56
17,Alabama,1994,1.16,0.17,0.54
18,Alabama,1995,1.14,0.15,0.53
19,Alabama,1996,1.17,0.15,0.53
20,Alabama,1997,1.14,0.15,0.52
21,Alabama,1998,1.16,0.17,0.51
22,Alabama,1999,1.18,0.17,0.51
23,Alabama,2000,1.19,0.18,0.51
24,Alabama,2001,1.16,0.17,0.53
25,Alabama,2002,1.18,0.21,0.53
26,Alabama,2003,1.18,0.19,0.52
27,Alabama,2004,1.19,0.2,0.52
28,Alabama,2005,1.18,0.2,0.53
29,Alabama,2006,1.22,0.21,0.55
30,Alabama,2007,1.24,0.22,0.56
31,Alabama,2008,1.24,0.22,0.58
32,Alabama,2009,1.2,0.22,0.58
33,Alaska,1977,1.19,0.42,1.7
34,Alaska,1978,1.39,0.45,1.68
35,Alaska,1979,1.5,0.47,1.65
36,Alaska,1980,1.55,0.5,1.7
37,Alaska,1981,1.71,0.57,1.82
38,Alaska,1982,1.75,0.56,1.74
39,Alaska,1983,1.76,0.61,1.7
40,Alaska,1984,1.73,0.58,1.56
41,Alaska,1985,1.68,0.58,1.53
42,Alaska,1986,1.68,0.56,1.27
43,Alaska,1987,1.64,0.54,1.29
44,Alaska,1988,1.6,0.49,1.23
45,Alaska,1989,1.57,0.46,1.24
46,Alaska,1990,1.62,0.46,1.25
47,Alaska,1991,1.54,0.43,1.14
48,Alaska,1992,1.53,0.41,1.08
49,Alaska,1993,1.31,0.32,0.92
50,Alaska,1994,1.53,0.4,1.1
51,Alaska,1995,1.45,0.39,1.02
52,Alaska,1996,1.31,0.38,0.94
53,Alaska,1997,1.31,0.36,0.88
54,Alaska,1998,1.37,0.39,0.98
55,Alaska,1999,1.45,0.4,0.98
56,Alaska,2000,1.35,0.37,0.92
57,Alaska,2001,1.34,0.4,0.97
58,Alaska,2002,1.36,0.43,1.08
59,Alaska,2003,1.27,0.37,0.79
60,Alaska,2004,1.32,0.45,0.96
61,Alaska,2005,1.24,0.43,0.99
62,Alaska,2006,1.24,0.46,1.02
63,Alaska,2007,1.13,0.44,1.07
64,Alaska,2008,1.2,0.49,1.09
65,Alaska,2009,1.31,0.54,1.16
66,Arizona,1977,1.7,0.34,1.05
67,Arizona,1978,1.77,0.37,1.1
68,Arizona,1979,1.86,0.39,1.17
69,Arizona,1980,1.69,0.36,0.98
70,Arizona,1981,1.78,0.42,1.01
71,Arizona,1982,1.74,0.4,0.99
72,Arizona,1983,1.62,0.44,1.0
73,Arizona,1984,1.57,0.45,1.06
74,Arizona,1985,1.67,0.46,1.0
75,Arizona,1986,1.77,0.46,0.91
76,Arizona,1987,1.67,0.46,0.86
77,Arizona,1988,1.64,0.42,0.88
78,Arizona,1989,1.68,0.36,0.85
79,Arizona,1990,1.59,0.37,0.8
80,Arizona,1991,1.58,0.35,0.78
81,Arizona,1992,1.58,0.31,0.8
82,Arizona,1993,1.58,0.27,0.76
83,Arizona,1994,1.52,0.29,0.7
84,Arizona,1995,1.47,0.29,0.68
85,Arizona,1996,1.52,0.33,0.73
86,Arizona,1997,1.45,0.31,0.68
87,Arizona,1998,1.44,0.32,0.68
88,Arizona,1999,1.47,0.34,0.69
89,Arizona,2000,1.48,0.31,0.71
90,Arizona,2001,1.47,0.33,0.7
91,Arizona,2002,1.46,0.33,0.69
92,Arizona,2003,1.41,0.37,0.71
93,Arizona,2004,1.39,0.33,0.7
94,Arizona,2005,1.33,0.39,0.74
95,Arizona,2006,1.31,0.37,0.78
96,Arizona,2007,1.36,0.33,0.76
97,Arizona,2008,1.27,0.4,0.75
98,Arizona,2009,1.19,0.38,0.74
99,Arkansas,1977,0.92,0.1,0.63
100,Arkansas,1978,0.97,0.11,0.73
101,Arkansas,1979,0.93,0.1,0.57
102,Arkansas,1980,1.0,0.12,0.69
103,Arkansas,1981,1.06,0.12,0.68
104,Arkansas,1982,1.03,0.12,0.63
105,Arkansas,1983,1.03,0.13,0.63
106,Arkansas,1984,1.02,0.12,0.64
107,Arkansas,1985,1.03,0.13,0.58
108,Arkansas,1986,1.06,0.09,0.48
109,Arkansas,1987,1.08,0.11,0.53
110,Arkansas,1988,1.07,0.14,0.53
111,Arkansas,1989,1.08,0.13,0.57
112,Arkansas,1990,1.12,0.13,0.61
113,Arkansas,1991,1.12,0.11,0.58
114,Arkansas,1992,1.13,0.12,0.65
115,Arkansas,1993,1.1,0.11,0.58
116,Arkansas,1994,1.06,0.13,0.46
117,Arkansas,1995,1.08,0.12,0.51
118,Arkansas,1996,1.1,0.12,0.53
119,Arkansas,1997,1.08,0.12,0.52
120,Arkansas,1998,1.1,0.11,0.51
121,Arkansas,1999,1.09,0.12,0.54
122,Arkansas,2000,1.09,0.12,0.53
123,Arkansas,2001,1.06,0.13,0.53
124,Arkansas,2002,1.07,0.14,0.53
125,Arkansas,2003,1.06,0.14,0.56
126,Arkansas,2004,1.07,0.15,0.58
127,Arkansas,2005,1.05,0.16,0.58
128,Arkansas,2006,1.07,0.17,0.59
129,Arkansas,2007,1.07,0.17,0.6
130,Arkansas,2008,1.11,0.17,0.6
131,Arkansas,2009,1.07,0.17,0.6
132,California,1977,1.31,0.67,1.28
133,California,1978,1.36,0.68,1.32
134,California,1979,1.42,0.7,1.28
135,California,1980,1.42,0.71,1.25
136,California,1981,1.43,0.72,1.21
137,California,1982,1.37,0.72,1.14
138,California,1983,1.37,0.75,1.11
139,California,1984,1.38,0.74,1.07
140,California,1985,1.32,0.78,1.02
141,California,1986,1.36,0.79,0.96
142,California,1987,1.36,0.74,0.93
143,California,1988,1.34,0.68,0.89
144,California,1989,1.31,0.61,0.87
145,California,1990,1.32,0.59,0.87
146,California,1991,1.22,0.49,0.75
147,California,1992,1.28,0.51,0.75
148,California,1993,1.17,0.48,0.69
149,California,1994,1.09,0.47,0.68
150,California,1995,1.14,0.45,0.64
151,California,1996,1.11,0.49,0.64
152,California,1997,1.12,0.5,0.62
153,California,1998,1.1,0.45,0.61
154,California,1999,1.1,0.46,0.62
155,California,2000,1.07,0.48,0.64
156,California,2001,1.08,0.48,0.64
157,California,2002,1.07,0.49,0.63
158,California,2003,1.06,0.5,0.65
